timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 19:59:07.471, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.521, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.571, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.621, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.672, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.722, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.772, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.822, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.872, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.922, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.972, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:08.023, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
