timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 20:31:16.479, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.529, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.579, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.629, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.679, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.729, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.780, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.830, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.880, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.930, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.980, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:17.030, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:17.080, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:17.131, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.36 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:17.181, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.36 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:17.231, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.36 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
