run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
768,oot,10000,2000,8,1.664534,1.130743,250
769,void,10000,2000,15,1.629126,1.096805,250
77,tikki,10000,500,2,3.748851,3.221886,4000
770,tikki,10000,500,4,2.160774,1.624974,4000
771,scorep,10000,250,8,1.559553,1.025087,16000
772,void,10000,1000,4,2.166270,1.632991,1000
773,void,10000,500,14,1.606282,1.072095,4000
774,extrae,10000,1000,14,1.650378,1.115096,1000
775,empty,10000,2000,14,1.639143,1.108593,250
776,empty,10000,1000,1,7.344309,6.810105,1000
777,empty,10000,500,8,1.591941,1.058292,4000
778,extrae,10000,500,1,7.358353,6.827539,4000
779,scorep,10000,500,10,1.605539,1.070338,4000
78,void,10000,1000,11,1.602566,1.075926,1000
780,empty,10000,500,12,1.589924,1.058189,4000
781,tikki,10000,250,12,1.575972,1.042671,16000
782,extrae,10000,1000,10,1.609169,1.075277,1000
783,empty,10000,1000,10,1.613305,1.081361,1000
784,oot,10000,1000,10,1.607112,1.075575,1000
785,oot,10000,250,8,1.502332,0.970419,16000
786,oot,10000,2000,15,1.631622,1.100145,250
787,scorep,10000,2000,9,1.665986,1.129868,250
788,void,10000,2000,1,7.372315,6.840970,250
789,scorep,10000,2000,10,1.699621,1.163818,250
79,printf,10000,500,8,1.565297,1.036186,4000
790,tikki,10000,1000,3,2.722426,2.192479,1000
791,void,10000,250,4,2.149913,1.615673,16000
792,void,10000,2000,7,1.662473,1.132800,250
793,oot,10000,500,1,7.360580,6.827912,4000
794,extrae,10000,1000,15,1.637686,1.102618,1000
795,scorep,10000,2000,6,1.778700,1.241204,250
796,oot,10000,500,7,1.572059,1.040829,4000
797,empty,10000,1000,14,1.587364,1.056724,1000
798,extrae,10000,500,14,1.656902,1.117942,4000
799,oot,10000,2000,3,2.669535,2.140756,250
8,extrae,10000,1000,9,1.625053,1.099144,1000
80,void,10000,250,7,1.546941,1.017700,16000
800,empty,10000,500,7,1.576859,1.042888,4000
801,printf,10000,2000,5,1.960059,1.427111,250
802,void,10000,250,13,1.543680,1.011200,16000
803,printf,10000,250,3,2.810542,2.277352,16000
804,empty,10000,1000,2,3.734444,3.201124,1000
805,empty,10000,2000,7,1.700994,1.170688,250
806,empty,10000,2000,6,1.717382,1.184800,250
807,oot,10000,250,7,1.547076,1.013796,16000
808,extrae,10000,250,15,1.612696,1.081168,16000
809,tikki,10000,250,10,1.569519,1.038057,16000
81,void,10000,250,1,7.378844,6.849314,16000
810,extrae,10000,250,1,7.456568,6.924973,16000
811,empty,10000,1000,7,1.622141,1.089701,1000
812,oot,10000,250,2,3.730980,3.199820,16000
813,oot,10000,1000,1,7.348530,6.816469,1000
814,void,10000,250,8,1.558120,1.027022,16000
815,void,10000,2000,8,1.639679,1.107358,250
816,printf,10000,500,16,1.619924,1.082767,4000
817,tikki,10000,250,15,1.579620,1.049181,16000
818,extrae,10000,250,11,1.581364,1.051485,16000
819,tikki,10000,2000,6,1.788273,1.257901,250
82,void,10000,500,1,7.337171,6.803615,4000
820,printf,10000,2000,4,2.246047,1.714804,250
821,oot,10000,500,4,2.118923,1.588529,4000
822,tikki,10000,2000,16,1.672953,1.141912,250
823,extrae,10000,2000,8,1.697890,1.163381,250
824,oot,10000,1000,4,2.144636,1.613784,1000
825,tikki,10000,500,3,2.680760,2.147220,4000
826,scorep,10000,500,1,6.376712,5.840323,4000
827,empty,10000,500,5,1.843999,1.313040,4000
828,extrae,10000,250,9,1.556552,1.023351,16000
829,tikki,10000,2000,12,1.705346,1.173205,250
83,tikki,10000,2000,11,1.704932,1.172313,250
830,extrae,10000,1000,9,1.639822,1.106750,1000
831,void,10000,250,2,3.747399,3.216757,16000
832,empty,10000,500,4,2.115406,1.584502,4000
833,void,10000,250,14,1.564341,1.033738,16000
834,extrae,10000,1000,1,7.356392,6.821478,1000
835,oot,10000,2000,11,1.621806,1.090016,250
836,empty,10000,2000,10,1.691870,1.159911,250
837,tikki,10000,2000,5,1.984117,1.452831,250
838,printf,10000,2000,14,1.647918,1.115772,250
839,oot,10000,500,3,2.583143,2.050381,4000
84,printf,10000,500,1,7.363279,6.832178,4000
840,tikki,10000,2000,10,1.714873,1.182683,250
841,printf,10000,1000,16,1.586117,1.053018,1000
842,empty,10000,2000,12,1.645108,1.111751,250
843,oot,10000,2000,12,1.643099,1.111577,250
844,printf,10000,500,14,1.602619,1.070902,4000
845,printf,10000,2000,12,1.641017,1.110469,250
846,tikki,10000,1000,16,1.651063,1.116076,1000
847,extrae,10000,2000,9,1.685303,1.151919,250
848,oot,10000,500,5,1.816536,1.285002,4000
849,empty,10000,250,10,1.515805,0.983240,16000
85,scorep,10000,250,14,1.569040,1.026702,16000
850,extrae,10000,250,8,1.603096,1.071385,16000
851,printf,10000,2000,13,1.623667,1.093082,250
852,tikki,10000,500,2,3.750780,3.215491,4000
853,tikki,10000,2000,15,1.691955,1.156973,250
854,printf,10000,250,4,2.178426,1.643980,16000
855,scorep,10000,2000,7,1.700480,1.166333,250
856,extrae,10000,1000,4,2.200647,1.663346,1000
857,extrae,10000,1000,12,1.650099,1.114711,1000
858,oot,10000,250,15,1.568926,1.032514,16000
859,extrae,10000,250,10,1.589432,1.049954,16000
86,extrae,10000,2000,9,1.693534,1.159799,250
860,scorep,10000,2000,13,1.649979,1.109095,250
861,tikki,10000,2000,7,1.755083,1.223132,250
862,oot,10000,2000,9,1.642766,1.111258,250
