State, th3, TASK, 0.060440, 0.060890, 0.000450, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.060894, 0.061387, 0.000493, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.061391, 0.061746, 0.000355, 0.000000, lapack_dlarfb
State, th3, TASK, 0.061752, 0.062350, 0.000597, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.062355, 0.062911, 0.000556, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.062923, 0.063403, 0.000481, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.063406, 0.063883, 0.000478, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.063886, 0.064385, 0.000499, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.064388, 0.064786, 0.000399, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.064788, 0.065176, 0.000387, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.065178, 0.065567, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.065570, 0.065958, 0.000387, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.065960, 0.066346, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.066350, 0.066741, 0.000392, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.066743, 0.067134, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.067136, 0.067526, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.067527, 0.067747, 0.000220, 0.000000, lapack_dlarfb
State, th3, TASK, 0.067876, 0.068152, 0.000276, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.068161, 0.068539, 0.000379, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.068550, 0.068972, 0.000422, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.068974, 0.069355, 0.000380, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.069356, 0.069736, 0.000379, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.069737, 0.070117, 0.000380, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.070119, 0.070498, 0.000379, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.070499, 0.070874, 0.000374, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.070876, 0.071247, 0.000371, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.071249, 0.071622, 0.000373, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.071625, 0.071998, 0.000373, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.072000, 0.072375, 0.000375, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.072377, 0.072782, 0.000405, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.072785, 0.073136, 0.000351, 0.000000, lapack_dgeqrt
State, th3, TASK, 0.073145, 0.073361, 0.000216, 0.000000, lapack_dlarfb
State, th3, TASK, 0.073363, 0.073572, 0.000209, 0.000000, lapack_dlarfb
State, th3, TASK, 0.073575, 0.073787, 0.000212, 0.000000, lapack_dlarfb
State, th3, TASK, 0.073789, 0.074168, 0.000379, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.074170, 0.074542, 0.000372, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.074544, 0.074917, 0.000373, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.074919, 0.075300, 0.000381, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.075302, 0.075681, 0.000379, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.075684, 0.076062, 0.000378, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.076064, 0.076440, 0.000376, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.076442, 0.076845, 0.000402, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.076847, 0.077269, 0.000422, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.077274, 0.077677, 0.000402, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.077679, 0.078068, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.078070, 0.078448, 0.000378, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.078449, 0.078664, 0.000215, 0.000000, lapack_dlarfb
State, th3, TASK, 0.078666, 0.079039, 0.000373, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.079042, 0.079428, 0.000386, 0.000000, lapack_dtpmqrt
