run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
200,void,10000,1000,12,1.122798,0.578162,1000
2000,void,10000,500,23,1.113999,0.566793,4000
2001,void,10000,2000,3,2.114168,1.568048,250
2002,empty,10000,500,10,1.116570,0.573551,4000
2003,tikki,10000,1000,24,1.178518,0.630359,1000
2004,void,10000,1000,14,1.115989,0.570167,1000
2005,scorep,10000,250,9,1.126554,0.578261,16000
2006,void,10000,2000,17,1.217803,0.674498,250
2007,empty,10000,1000,13,1.116362,0.568033,1000
2008,printf,10000,250,2,2.880274,2.333285,16000
2009,printf,10000,2000,23,1.252564,0.703005,250
201,printf,10000,2000,23,1.250810,0.706189,250
2010,extrae,10000,2000,6,1.410903,0.864525,250
2011,extrae,10000,500,24,1.181905,0.641731,4000
2012,void,10000,250,13,1.107377,0.561082,16000
2013,scorep,10000,250,13,1.110079,0.559694,16000
2014,void,10000,1000,6,1.365350,0.818775,1000
2015,extrae,10000,1000,24,1.212863,0.667781,1000
2016,void,10000,500,20,1.104346,0.562506,4000
2017,extrae,10000,500,11,1.139474,0.592891,4000
2018,scorep,10000,500,15,1.116312,0.564351,4000
2019,extrae,10000,2000,18,1.296315,0.749303,250
202,scorep,10000,2000,22,1.245366,0.699799,250
2020,empty,10000,500,16,1.103001,0.561571,4000
2021,oot,10000,500,18,1.109362,0.562996,4000
2022,oot,10000,1000,24,1.137827,0.589688,1000
2023,oot,10000,2000,3,2.088612,1.542947,250
2024,extrae,10000,2000,24,1.329290,0.787134,250
2025,printf,10000,500,23,1.106205,0.561884,4000
2026,scorep,10000,500,16,1.118699,0.567696,4000
2027,printf,10000,2000,11,1.198143,0.650610,250
2028,extrae,10000,1000,22,1.203243,0.655052,1000
2029,tikki,10000,1000,19,1.174698,0.630691,1000
203,printf,10000,500,17,1.106872,0.561414,4000
2030,tikki,10000,500,17,1.146930,0.608718,4000
2031,tikki,10000,2000,20,1.286289,0.738683,250
