State, th9, TASK, 0.147227, 0.147995, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.147998, 0.148756, 0.000758, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.148759, 0.149518, 0.000758, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.149521, 0.150278, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.150282, 0.151045, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.151048, 0.151810, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.151814, 0.152577, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.152581, 0.153355, 0.000774, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.153359, 0.154128, 0.000769, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.154131, 0.154902, 0.000771, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.154905, 0.155671, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.155674, 0.156440, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.156444, 0.157214, 0.000770, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.157217, 0.157979, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.157987, 0.158749, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.158752, 0.159529, 0.000777, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.159533, 0.160299, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.160302, 0.161061, 0.000759, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.161064, 0.161829, 0.000764, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.161832, 0.162591, 0.000759, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.162595, 0.163363, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.163366, 0.164123, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.164126, 0.164875, 0.000748, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.164879, 0.165308, 0.000428, 0.000000, lapack_dlarfb
State, th9, TASK, 0.165314, 0.165737, 0.000423, 0.000000, lapack_dlarfb
State, th9, TASK, 0.165741, 0.166494, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.166497, 0.167253, 0.000756, 0.000000, lapack_dtpmqrt
