timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:05:53.919, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.84 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.974, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.84 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.025, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.87 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.077, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.87 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.129, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.90 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.180, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.90 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.233, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.91 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.284, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.91 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.336, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.91 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.387, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.91 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.439, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.91 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.491, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.91 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.543, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.92 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.594, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.92 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.646, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.93 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.697, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.93 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.750, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.10 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.801, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.10 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.853, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.14 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.904, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.14 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:54.956, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.16 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:55.008, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.16 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:55.059, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.16 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:55.112, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.16 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
