timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:43:38.411, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 117.42 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.462, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 117.42 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.512, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 117.41 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.562, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.41 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.612, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 116.68 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.663, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 116.68 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.713, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 90.38 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.763, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 90.38 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.814, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 70.33 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.864, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 70.33 W, 48, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.914, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 77.38 W, 52, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.964, 0, NVIDIA GeForce RTX 4090, 545.23.08, 29 %, 24564 MiB, 22774 MiB, 77.38 W, 51, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.031, 0, NVIDIA GeForce RTX 4090, 545.23.08, 29 %, 24564 MiB, 22774 MiB, 105.84 W, 48, 2790 MHz, 2790 MHz, 10251 MHz
