timestamp,index,name,driver_version,utilization.gpu[],memory.total[],memory.used[],power.draw[],temperature.gpu,clocks.current.graphics[],clocks.current.sm[],clocks.current.memory[]
2025/10/0509:19:51.584,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.56,27,2580,2580,10251
2025/10/0509:19:51.634,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.63,27,2580,2580,10251
2025/10/0509:19:51.684,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.63,27,2580,2580,10251
2025/10/0509:19:51.734,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.63,27,2580,2580,10251
2025/10/0509:19:51.784,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.63,27,2580,2580,10251
2025/10/0509:19:51.835,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.64,27,2580,2580,10251
2025/10/0509:19:51.885,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.64,27,2580,2580,10251
2025/10/0509:19:51.935,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.67,27,2580,2580,10251
2025/10/0509:19:51.985,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.67,27,2580,2580,10251
2025/10/0509:19:52.035,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.69,27,2580,2580,10251
2025/10/0509:19:52.086,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.69,27,2580,2580,10251
2025/10/0509:19:52.136,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.72,27,2580,2580,10251
2025/10/0509:19:52.186,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.72,27,2580,2580,10251
2025/10/0509:19:52.236,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.08,27,2580,2580,10251
2025/10/0509:19:52.287,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.08,27,2580,2580,10251
2025/10/0509:19:52.337,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.10,27,2580,2580,10251
2025/10/0509:19:52.387,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.10,27,2580,2580,10251
2025/10/0509:19:52.437,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.21,27,2580,2580,10251
2025/10/0509:19:52.488,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.21,27,2580,2580,10251
2025/10/0509:19:52.538,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.16,27,2580,2580,10251
2025/10/0509:19:52.588,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.16,27,2580,2580,10251
2025/10/0509:19:52.638,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.25,27,2580,2580,10251
2025/10/0509:19:52.688,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.25,27,2580,2580,10251
2025/10/0509:19:52.739,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.17,27,2580,2580,10251
