State, th9, TASK, 0.178052, 0.179466, 0.001414, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.179484, 0.180471, 0.000987, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.180491, 0.181486, 0.000995, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.181523, 0.182523, 0.001000, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.182541, 0.183545, 0.001004, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.183560, 0.184605, 0.001045, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.184632, 0.185649, 0.001017, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.185680, 0.186721, 0.001041, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.186740, 0.187776, 0.001036, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.187805, 0.188817, 0.001012, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.188837, 0.189864, 0.001026, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.189898, 0.190943, 0.001046, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.190967, 0.192004, 0.001037, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.192042, 0.193615, 0.001573, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.193645, 0.194647, 0.001002, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.194704, 0.195764, 0.001060, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.195815, 0.196877, 0.001061, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.196906, 0.197974, 0.001069, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.197995, 0.199018, 0.001023, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.199057, 0.200150, 0.001092, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.200179, 0.201182, 0.001003, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.201223, 0.202239, 0.001016, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.202270, 0.203272, 0.001003, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.203310, 0.204303, 0.000993, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.204332, 0.205776, 0.001445, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.205815, 0.206746, 0.000931, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.206781, 0.207712, 0.000932, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.207753, 0.208711, 0.000957, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.208742, 0.209653, 0.000911, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.209685, 0.210632, 0.000947, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.210699, 0.211633, 0.000934, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.211658, 0.212567, 0.000909, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.212606, 0.213494, 0.000888, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.213521, 0.214463, 0.000942, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.214484, 0.215424, 0.000940, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.215456, 0.216424, 0.000969, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.216447, 0.217353, 0.000906, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.217389, 0.218302, 0.000913, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.218331, 0.219247, 0.000916, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.219273, 0.220194, 0.000921, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.220229, 0.221188, 0.000958, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.221216, 0.222103, 0.000887, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.222129, 0.223044, 0.000915, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.223076, 0.224533, 0.001457, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.224547, 0.225513, 0.000966, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.225540, 0.226507, 0.000967, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.226529, 0.227482, 0.000953, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.227504, 0.228414, 0.000910, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.228449, 0.229413, 0.000964, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.229431, 0.230408, 0.000977, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.230431, 0.231411, 0.000980, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.231436, 0.232363, 0.000927, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.232387, 0.233346, 0.000960, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.233369, 0.234350, 0.000980, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.234367, 0.235297, 0.000930, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.235315, 0.236263, 0.000947, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.236287, 0.237217, 0.000930, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.237240, 0.238233, 0.000993, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.238262, 0.239229, 0.000966, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.239270, 0.240228, 0.000958, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.240250, 0.241248, 0.000998, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.241276, 0.242198, 0.000922, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.242216, 0.243178, 0.000962, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.243197, 0.244147, 0.000950, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.244184, 0.245117, 0.000934, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.245140, 0.246078, 0.000938, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.246098, 0.247098, 0.000999, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.247129, 0.248137, 0.001009, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.248160, 0.249181, 0.001021, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.249195, 0.250210, 0.001015, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.250229, 0.251233, 0.001004, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.251246, 0.252233, 0.000986, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.252259, 0.253284, 0.001025, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.253318, 0.254331, 0.001012, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.254357, 0.255352, 0.000995, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.255388, 0.256387, 0.000999, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.256405, 0.257457, 0.001051, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.257475, 0.258523, 0.001048, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.258548, 0.259553, 0.001006, 0.000000, gauss-seidel-smoothing-formula
